
"Course Title","Completed Courses (Transcript) Delivery Type","Completed Courses (Transcript) Registration Date","Completed Courses (Transcript) Date Marked Complete","Completed Courses (Transcript) Score","Completed Courses (Transcript) Ended/Completed On Date","Course ID","Completed Courses (Transcript) Duration (HH:MM)","Transcript Updated On"
"Artificial Intelligence for Business Leaders","LinkedIn","15-SEP-2023","15-SEP-2023","0","15-SEP-2023","0000246752","01:33","15-SEP-2023"
"Design Thinking Foundation","Virtual Instructor (VILT)","16-AUG-2023","21-AUG-2023","0","17-AUG-2023","00051852","04:00","21-AUG-2023"
"Executive Briefing: Artificial Intelligence (AI) + ChatGPT","Udemy","14-SEP-2023","14-SEP-2023","100","14-SEP-2023","0000233165","02:05","14-SEP-2023"
"Introduction to Artificial Intelligence","LinkedIn","07-SEP-2023","10-SEP-2023","0","10-SEP-2023","0000267437","01:34","10-SEP-2023"
"Microsoft Azure: Identity and Access Management","LinkedIn","02-AUG-2023","03-AUG-2023","0","03-AUG-2023","0000265000","01:46","03-AUG-2023"
"Microsoft Azure: Networking Concepts","LinkedIn","04-AUG-2023","08-AUG-2023","0","08-AUG-2023","0000246055","01:12","08-AUG-2023"
"Microsoft Azure: Security Concepts","LinkedIn","08-AUG-2023","08-AUG-2023","0","08-AUG-2023","0000246119","01:21","08-AUG-2023"
"Putting ITIL® into Practice: Problem Management Techniques","LinkedIn","03-JUN-2023","24-JUN-2023","0","24-JUN-2023","0000241375","01:52","24-JUN-2023"
"Scaling Applications with Microsoft Azure","LinkedIn","04-AUG-2023","04-AUG-2023","0","04-AUG-2023","0000243708","01:30","04-AUG-2023"
"Streamlining Processes with Azure Automation","LinkedIn","08-AUG-2023","09-AUG-2023","0","09-AUG-2023","0000247948","02:29","09-AUG-2023"
"What Is Generative AI?","LinkedIn","11-SEP-2023","14-SEP-2023","0","14-SEP-2023","0000267447","00:42","14-SEP-2023"
